,VDM_file,Cage_VDM,VDM_Time,variable,value,VDM_datetime,VDM_timestamp,VDM_date,VDM_day,VDM_time,VDM_hour,VDM_min,VDM_second,ld_seg,VDM_drink,RFID_eventDuration,RFID_assign_id_pre,RFID_assign_var_pre,RFID_datetime_start_pre,RFID_datetime_end_pre,ld_cycle,ld_day,VDM_RFID_timediff,VDM_RFID_timediff_bool
16,c.br.o.g_fm_211213.csv,6,12/13/21 18:38:50,drink_2,0.021,2021-12-13 18:38:50.000000000,1639420730.0,2021-12-13,13,18:38:50,18,38,50,dark_pm,VDM_blueras,0.075,041AC033A1,blue_ras,2021-12-13 18:38:45.144960000,2021-12-13 18:38:45.219960000,dark,2.0,4.78004,diff
17,c.br.o.g_fm_211213.csv,6,12/13/21 19:11:09,drink_2,0.021,2021-12-13 19:11:09.000000000,1639422669.0,2021-12-13,13,19:11:09,19,11,9,dark_pm,VDM_blueras,0.075,041AC033A1,blue_ras,2021-12-13 19:11:08.219961600,2021-12-13 19:11:08.294961600,dark,2.0,0.705038,diff
18,c.br.o.g_fm_211213.csv,5,12/13/21 19:26:49,drink_2,0.042,2021-12-13 19:26:49.000000000,1639423609.0,2021-12-13,13,19:26:49,19,26,49,dark_pm,VDM_blueras,8.014,041ABFF7C1,blue_ras,2021-12-13 19:26:45.162988800,2021-12-13 19:26:53.176988800,dark,2.0,0.0,same
19,c.br.o.g_fm_211213.csv,6,12/13/21 19:58:23,drink_2,0.021,2021-12-13 19:58:23.000000000,1639425503.0,2021-12-13,13,19:58:23,19,58,23,dark_pm,VDM_blueras,0.459,041AC033A1,blue_ras,2021-12-13 19:54:40.040035200,2021-12-13 19:54:40.499035200,dark,2.0,222.500964,diff
20,c.br.o.g_fm_211213.csv,6,12/13/21 20:14:36,drink_2,0.021,2021-12-13 20:14:36.000000000,1639426476.0,2021-12-13,13,20:14:36,20,14,36,dark_pm,VDM_blueras,4.848,041AC033A1,blue_ras,2021-12-13 20:14:32.764041600,2021-12-13 20:14:37.612041600,dark,2.0,0.0,same
21,c.br.o.g_fm_211213.csv,6,12/13/21 20:14:37,drink_2,0.021,2021-12-13 20:14:37.000000000,1639426477.0,2021-12-13,13,20:14:37,20,14,37,dark_pm,VDM_blueras,4.848,041AC033A1,blue_ras,2021-12-13 20:14:32.764041600,2021-12-13 20:14:37.612041600,dark,2.0,0.0,same
22,c.br.o.g_fm_211213.csv,5,12/13/21 20:30:12,drink_2,0.042,2021-12-13 20:30:12.000000000,1639427412.0,2021-12-13,13,20:30:12,20,30,12,dark_pm,VDM_blueras,2.237,041ABFF7C1,blue_ras,2021-12-13 20:30:11.481033600,2021-12-13 20:30:13.718033600,dark,2.0,0.0,same
23,c.br.o.g_fm_211213.csv,6,12/13/21 20:33:01,drink_2,0.042,2021-12-13 20:33:01.000000000,1639427581.0,2021-12-13,13,20:33:01,20,33,1,dark_pm,VDM_blueras,7.885,041AC006F3,blue_ras,2021-12-13 20:32:50.309030400,2021-12-13 20:32:58.194030400,dark,2.0,2.805969,diff
24,c.br.o.g_fm_211213.csv,6,12/13/21 20:33:02,drink_2,0.042,2021-12-13 20:33:02.000000000,1639427582.0,2021-12-13,13,20:33:02,20,33,2,dark_pm,VDM_blueras,7.885,041AC006F3,blue_ras,2021-12-13 20:32:50.309030400,2021-12-13 20:32:58.194030400,dark,2.0,3.805969,diff
25,c.br.o.g_fm_211213.csv,8,12/13/21 20:36:24,drink_2,0.021,2021-12-13 20:36:24.000000000,1639427784.0,2021-12-13,13,20:36:24,20,36,24,dark_pm,VDM_blueras,0.363,041ABFEC1B,blue_ras,2021-12-13 20:33:01.773014400,2021-12-13 20:33:02.136014400,dark,2.0,201.863985,diff
